epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1506.83,1.30551,1.06302,0.85134,0.63997,0.64388,0.62106,0.34267,1.12704,0.75897,0.84803,0.000414141,0.000414141,0.000414141
2,2784.15,1.2592,0.73223,0.84239,0.82503,0.64508,0.74271,0.44806,1.02877,0.66485,0.83274,0.000822583,0.000822583,0.000822583
3,6248.96,1.25165,0.71855,0.84059,0.67746,0.7011,0.70108,0.40247,1.12948,0.67634,0.84642,0.00122277,0.00122277,0.00122277
4,7425.53,1.23738,0.69483,0.83697,0.61759,0.76567,0.74199,0.43736,1.15078,0.64678,0.84671,0.00121287,0.00121287,0.00121287
5,8396.83,1.21905,0.65822,0.83564,0.7452,0.78039,0.80262,0.46477,1.04044,0.59076,0.82989,0.0012005,0.0012005,0.0012005
6,9298.89,1.19982,0.62164,0.83028,0.70989,0.81665,0.79896,0.46261,1.14989,0.62071,0.84866,0.00118812,0.00118812,0.00118812
7,10209.2,1.15394,0.61778,0.83158,0.77823,0.74861,0.80133,0.50128,0.98935,0.5623,0.82665,0.00117575,0.00117575,0.00117575
8,11042,1.14925,0.62983,0.82554,0.74813,0.76083,0.78661,0.48,0.96439,0.56215,0.82658,0.00116337,0.00116337,0.00116337
9,11911.6,1.13243,0.60537,0.82472,0.79723,0.78946,0.78418,0.49059,0.97467,0.5827,0.82681,0.001151,0.001151,0.001151
10,12781.6,1.11142,0.59858,0.82338,0.6989,0.8064,0.82484,0.49846,1.01113,0.58931,0.83401,0.00113863,0.00113863,0.00113863
11,13712.3,1.08943,0.58354,0.82103,0.81151,0.7914,0.82936,0.52224,0.95897,0.55129,0.8214,0.00112625,0.00112625,0.00112625
12,14680,1.10915,0.57445,0.82358,0.72155,0.81129,0.82564,0.51028,0.99663,0.55744,0.82944,0.00111388,0.00111388,0.00111388
13,15569.9,1.08583,0.56833,0.81995,0.77054,0.83796,0.82252,0.52054,0.94285,0.52969,0.82025,0.0011015,0.0011015,0.0011015
14,16524,1.07227,0.56047,0.81561,0.74462,0.83691,0.83061,0.50867,0.99439,0.56166,0.82273,0.00108913,0.00108913,0.00108913
15,17415.9,1.09053,0.5657,0.81735,0.80123,0.83496,0.83491,0.53689,0.92759,0.52249,0.82037,0.00107675,0.00107675,0.00107675
16,18365.3,1.06956,0.55069,0.81687,0.83017,0.80746,0.8432,0.52501,0.95826,0.5412,0.82241,0.00106437,0.00106437,0.00106437
17,19280,1.04965,0.5448,0.81539,0.76167,0.78391,0.81392,0.51183,0.97583,0.5628,0.82522,0.001052,0.001052,0.001052
18,20217.8,1.06883,0.55643,0.81524,0.76273,0.84,0.83153,0.52738,0.96032,0.52123,0.82047,0.00103962,0.00103962,0.00103962
19,21164.1,1.04182,0.53873,0.81292,0.79246,0.84176,0.82925,0.52725,0.91625,0.52307,0.81834,0.00102725,0.00102725,0.00102725
20,22116.3,1.06204,0.54774,0.81591,0.80777,0.82253,0.84726,0.53969,0.92485,0.52788,0.8183,0.00101488,0.00101488,0.00101488
21,23044.5,1.02623,0.53691,0.81247,0.78299,0.81343,0.83121,0.5284,0.94879,0.53337,0.82256,0.0010025,0.0010025,0.0010025
22,28266.1,1.03005,0.53966,0.81332,0.77974,0.83162,0.83047,0.52826,0.93438,0.52989,0.82102,0.000990125,0.000990125,0.000990125
23,29179.9,1.04012,0.5398,0.81235,0.80165,0.82724,0.84132,0.54103,0.9315,0.52846,0.81767,0.00097775,0.00097775,0.00097775
24,30133.6,1.04667,0.53686,0.81298,0.7961,0.78372,0.79695,0.49337,0.97049,0.54822,0.81837,0.000965375,0.000965375,0.000965375
25,31126.9,1.04128,0.53231,0.81177,0.77227,0.81737,0.83649,0.54135,0.89631,0.49955,0.8147,0.000953,0.000953,0.000953
26,32065.2,1.00788,0.51454,0.80882,0.75371,0.81618,0.83715,0.51663,0.99988,0.54649,0.82295,0.000940625,0.000940625,0.000940625
27,33066.8,1.02279,0.52897,0.81094,0.74132,0.84605,0.8314,0.53146,0.91379,0.51202,0.81568,0.00092825,0.00092825,0.00092825
28,34079.6,1.03352,0.52987,0.8112,0.78791,0.82039,0.83051,0.52274,0.99668,0.5343,0.82971,0.000915875,0.000915875,0.000915875
29,35068.6,1.02273,0.52031,0.81188,0.78706,0.84097,0.83204,0.53952,0.89573,0.50653,0.81627,0.0009035,0.0009035,0.0009035
30,36022.7,1.00706,0.52044,0.8099,0.75511,0.86967,0.84413,0.53811,0.90075,0.50898,0.81623,0.000891125,0.000891125,0.000891125
31,36941.3,0.99704,0.51034,0.80721,0.83208,0.78783,0.83719,0.54329,0.89567,0.50874,0.8155,0.00087875,0.00087875,0.00087875
32,37863.2,0.99617,0.50651,0.80856,0.75336,0.84673,0.84732,0.54178,0.92464,0.52207,0.81806,0.000866375,0.000866375,0.000866375
33,38771.8,1.01808,0.51666,0.8096,0.81238,0.82879,0.84161,0.53782,0.92107,0.5139,0.81874,0.000854,0.000854,0.000854
